SIID,simvar,periodRatio,mutualHill,durationRatio,a1,a2,e1,e2,i1,i2,m1,m2,b1,b2,argPeri1,argPeri2,longAscNode1,longAscNode2
1679.0,1.0,1.98106402,24.40332619,3.13450479,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.13125,0.94871,0.90489,1.19362,1.30406,-0.71314
1679.0,1.0,7.45380064,60.10028525,0.47099711,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.94871,0.45692,1.19362,3.29734,-0.71314,0.39279
1684.0,1.0,1.98106402,24.40332619,0.52823025,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.85164,0.26991,0.90489,1.19362,1.30406,-0.71314
1687.0,1.0,3.81965735,48.83099756,0.61933573,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.74342,0.22502,0.90489,6.10835,1.30406,2.80714
1695.0,1.0,7.20108206,59.0928791,-0.06505004,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.16498,0.80251,0.90489,5.66301,1.30406,-1.95241
1713.0,1.0,1.98106402,24.40332619,0.73458673,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.67699,0.04272,0.90489,1.19362,1.30406,-0.71314
1730.0,1.0,7.20108206,59.0928791,0.74187509,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.47034,0.02752,0.90489,5.66301,1.30406,-1.95241
1781.0,1.0,1.98106402,24.40332619,1.33651029,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.34744,0.29848,0.90489,1.19362,1.30406,-0.71314
1781.0,1.0,7.45380064,60.10028525,1.21159728,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.29848,0.70878,1.19362,3.29734,-0.71314,0.39279
1790.0,1.0,7.20108206,59.0928791,1.2398367,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.45041,0.73196,0.90489,5.66301,1.30406,-1.95241
1816.0,1.0,1.98106402,24.40332619,2.0059141,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.27513,0.84022,0.90489,1.19362,1.30406,-0.71314
1875.0,1.0,1.98106402,24.40332619,1.58389401,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.61565,0.78935,0.90489,1.19362,1.30406,-0.71314
1907.0,1.0,1.98106402,24.40332619,0.58977987,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.74229,0.14929,0.90489,1.19362,1.30406,-0.71314
1921.0,1.0,3.81965735,48.83099756,0.88119411,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.47301,0.40996,0.90489,6.10835,1.30406,2.80714
1938.0,1.0,1.98106402,24.40332619,0.94760902,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.43346,0.11909,0.90489,1.19362,1.30406,-0.71314
1964.0,1.0,1.98106402,24.40332619,1.18978461,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.76115,0.65199,0.90489,1.19362,1.30406,-0.71314
1964.0,1.0,1.92808375,23.97749473,0.9918856,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.65199,0.76052,1.19362,6.10835,-0.71314,2.80714
1964.0,1.0,9.93885741,66.06551586,0.65835027,0.12152,0.56174,0.13405,0.05245,0.07367,0.02106,2.33135,5.08025,0.76052,0.11401,6.10835,0.09629,2.80714,3.00678
1972.0,1.0,1.98106402,24.40332619,0.83939854,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.64685,0.40388,0.90489,1.19362,1.30406,-0.71314
1983.0,1.0,3.81965735,48.83099756,0.93509489,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.08233,0.24793,0.90489,6.10835,1.30406,2.80714
1986.0,1.0,1.98106402,24.40332619,1.07915399,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.12121,0.30354,0.90489,1.19362,1.30406,-0.71314
2026.0,1.0,1.98106402,24.40332619,0.43470291,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.44226,0.0449,0.90489,1.19362,1.30406,-0.71314
2043.0,1.0,1.98106402,24.40332619,0.90904832,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.59458,0.54809,0.90489,1.19362,1.30406,-0.71314
2087.0,1.0,1.98106402,24.40332619,0.97539294,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.28094,0.05723,0.90489,1.19362,1.30406,-0.71314
2177.0,1.0,3.81965735,48.83099756,0.84013703,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.20349,0.11077,0.90489,6.10835,1.30406,2.80714
2210.0,1.0,1.98106402,24.40332619,1.94179732,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.26714,0.84301,0.90489,1.19362,1.30406,-0.71314
2216.0,1.0,3.81965735,48.83099756,0.91252596,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.39988,0.44427,0.90489,6.10835,1.30406,2.80714
2239.0,1.0,1.98106402,24.40332619,2.59849441,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.35977,0.93325,0.90489,1.19362,1.30406,-0.71314
