SIID,simvar,transMult,a,e,i,m,rad,probDetect
1781.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1781.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1781.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
1790.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1790.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1816.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1816.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1820.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1848.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1867.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1875.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1875.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1907.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1907.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1921.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1921.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1936.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1938.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1938.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1964.0,1.0,4.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1964.0,1.0,4.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1964.0,1.0,4.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1964.0,1.0,4.0,0.56174,0.05245,0.02106,5.08025,2.09960723,0.0
1972.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1972.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1983.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1983.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1986.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1986.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
2026.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2026.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
2031.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2043.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2043.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
2044.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2047.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2071.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2087.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2087.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
2150.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2173.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2177.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
2177.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
